"name","info","season","club","nation.","pass","app","pos.","avg_pass"
" Zavon Hines","England","2009/10","  - "," England",153,13,"FW",11.7692307692308
" Zavon Hines","England","2010/11","  - "," England",102,9,"FW",11.3333333333333
" Johann Smith","United States","2006/07","  - "," United States",NA,1,"FW",NA
" Lacina Traoré","Cote D'Ivoire","2013/14","  - "," Cote D'Ivoire",NA,1,"FW",NA
" Marcello Trotta","Italy","2011/12","  - "," Italy",NA,1,"FW",NA
" Rushian Hepburn-Murphy","England","2014/15","  - "," England",NA,1,"FW",NA
" Rushian Hepburn-Murphy","England","2015/16","  - "," England",NA,1,"FW",NA
" Ryan Seager","England","2014/15","  - "," England",NA,1,"FW",NA
" Theo Robinson","Jamaica","2006/07","  - "," Jamaica",NA,1,"FW",NA
" Theofanis Gekas","Greece","2008/09","  - "," Greece",NA,1,"FW",NA
" Aaron Lennon","England","2006/07","  - "," England",541,26,"MF",20.8076923076923
" Aaron Lennon","England","2007/08","  - "," England",562,29,"MF",19.3793103448276
" Aaron Lennon","England","2008/09","  - "," England",786,35,"MF",22.4571428571429
" Aaron Lennon","England","2009/10","  - "," England",564,22,"MF",25.6363636363636
" Aaron Lennon","England","2010/11","  - "," England",834,34,"MF",24.5294117647059
" Aaron Lennon","England","2011/12","  - "," England",569,23,"MF",24.7391304347826
" Aaron Lennon","England","2012/13","  - "," England",879,34,"MF",25.8529411764706
" Aaron Lennon","England","2013/14","  - "," England",770,27,"MF",28.5185185185185
" Aaron Lennon","England","2014/15","  - "," England",435,23,"MF",18.9130434782609
" Aaron Lennon","England","2015/16"," Everton  "," England",477,25,"MF",19.08
" Aaron Mokoena","South Africa","2006/07","  - "," South Africa",622,27,"MF",23.037037037037
" Aaron Mokoena","South Africa","2007/08","  - "," South Africa",340,18,"MF",18.8888888888889
" Aaron Mokoena","South Africa","2008/09","  - "," South Africa",333,18,"MF",18.5
" Aaron Mokoena","South Africa","2009/10","  - "," South Africa",654,23,"MF",28.4347826086957
" Aaron Ramsey","Wales","2008/09"," Arsenal  "," Wales",181,9,"MF",20.1111111111111
" Aaron Ramsey","Wales","2009/10"," Arsenal  "," Wales",627,18,"MF",34.8333333333333
" Aaron Ramsey","Wales","2010/11"," Arsenal  "," Wales",300,7,"MF",42.8571428571429
" Aaron Ramsey","Wales","2011/12"," Arsenal  "," Wales",1925,34,"MF",56.6176470588235
" Aaron Ramsey","Wales","2012/13"," Arsenal  "," Wales",1934,36,"MF",53.7222222222222
" Aaron Ramsey","Wales","2013/14"," Arsenal  "," Wales",1515,23,"MF",65.8695652173913
" Aaron Ramsey","Wales","2014/15"," Arsenal  "," Wales",1641,29,"MF",56.5862068965517
" Aaron Ramsey","Wales","2015/16"," Arsenal  "," Wales",2154,31,"MF",69.4838709677419
" Abdisalam Ibrahim","Norway","2009/10","  - "," Norway",6,1,"MF",6
" Abdul Razak","Cote D'Ivoire","2010/11","  - "," Cote D'Ivoire",2,1,"MF",2
" Abdul Razak","Cote D'Ivoire","2011/12","  - "," Cote D'Ivoire",12,1,"MF",12
" Abdul Razak","Cote D'Ivoire","2012/13","  - "," Cote D'Ivoire",5,3,"MF",1.66666666666667
" Abou Diaby","France","2006/07","  - "," France",401,12,"MF",33.4166666666667
" Abou Diaby","France","2007/08","  - "," France",402,15,"MF",26.8
" Abou Diaby","France","2008/09","  - "," France",953,24,"MF",39.7083333333333
" Abou Diaby","France","2009/10","  - "," France",1545,29,"MF",53.2758620689655
" Abou Diaby","France","2010/11","  - "," France",668,16,"MF",41.75
" Abou Diaby","France","2011/12","  - "," France",70,4,"MF",17.5
" Abou Diaby","France","2012/13","  - "," France",564,11,"MF",51.2727272727273
" Abou Diaby","France","2013/14","  - "," France",13,1,"MF",13
" Adam Forshaw","England","2010/11","  - "," England",2,1,"MF",2
" Adam Hammill","England","2010/11","  - "," England",164,10,"MF",16.4
" Adam Hammill","England","2011/12","  - "," England",108,9,"MF",12
" Adam Johnson","England","2006/07","  - "," England",81,12,"MF",6.75
" Adam Johnson","England","2007/08","  - "," England",143,19,"MF",7.52631578947368
" Adam Johnson","England","2008/09","  - "," England",324,26,"MF",12.4615384615385
" Adam Johnson","England","2009/10","  - "," England",424,16,"MF",26.5
" Adam Johnson","England","2010/11","  - "," England",624,31,"MF",20.1290322580645
" Adam Johnson","England","2011/12","  - "," England",567,26,"MF",21.8076923076923
" Adam Johnson","England","2012/13","  - "," England",960,35,"MF",27.4285714285714
" Adam Johnson","England","2013/14","  - "," England",778,36,"MF",21.6111111111111
" Adam Johnson","England","2014/15","  - "," England",759,32,"MF",23.71875
" Adam Johnson","England","2015/16","  - "," England",562,19,"MF",29.5789473684211
" Adam Lallana","England","2012/13","  - "," England",971,30,"MF",32.3666666666667
" Adam Lallana","England","2013/14","  - "," England",1478,38,"MF",38.8947368421053
" Adam Lallana","England","2014/15"," Liverpool  "," England",743,27,"MF",27.5185185185185
" Adam Lallana","England","2015/16"," Liverpool  "," England",989,30,"MF",32.9666666666667
" Adama Traoré","Spain","2015/16","  - "," Spain",30,10,"MF",3
" Adel Taarabt","Morocco","2006/07","  - "," Morocco",13,2,"MF",6.5
" Adel Taarabt","Morocco","2007/08","  - "," Morocco",52,6,"MF",8.66666666666667
" Adel Taarabt","Morocco","2008/09","  - "," Morocco",5,1,"MF",5
" Adel Taarabt","Morocco","2011/12","  - "," Morocco",1011,27,"MF",37.4444444444444
" Adel Taarabt","Morocco","2012/13","  - "," Morocco",1153,31,"MF",37.1935483870968
" Adel Taarabt","Morocco","2013/14","  - "," Morocco",290,12,"MF",24.1666666666667
" Adel Taarabt","Morocco","2014/15","  - "," Morocco",191,7,"MF",27.2857142857143
" Adlène Guédioura","Algeria","2009/10","  - "," Algeria",215,14,"MF",15.3571428571429
" Adlène Guédioura","Algeria","2010/11","  - "," Algeria",120,10,"MF",12
" Adlène Guédioura","Algeria","2011/12","  - "," Algeria",127,10,"MF",12.7
" Adlène Guédioura","Algeria","2013/14","  - "," Algeria",149,8,"MF",18.625
" Adlène Guédioura","Algeria","2014/15","  - "," Algeria",74,7,"MF",10.5714285714286
" Adlène Guédioura","Algeria","2015/16","  - "," Algeria",251,18,"MF",13.9444444444444
" Adnan Januzaj","Belgium","2013/14","  - "," Belgium",598,27,"MF",22.1481481481481
" Adnan Januzaj","Belgium","2014/15","  - "," Belgium",320,18,"MF",17.7777777777778
" Adnan Januzaj","Belgium","2015/16","  - "," Belgium",42,5,"MF",8.4
" Ahmed Fathi","Egypt","2006/07","  - "," Egypt",53,3,"MF",17.6666666666667
" Aiden McGeady","Ireland","2013/14","  - "," Ireland",179,16,"MF",11.1875
" Aiden McGeady","Ireland","2014/15","  - "," Ireland",292,16,"MF",18.25
" Ákos Buzsáky","Hungary","2011/12","  - "," Hungary",468,18,"MF",26
" Al Bangura","Sierra Leone","2006/07","  - "," Sierra Leone",405,16,"MF",25.3125
" Alan O'Brien","Ireland","2006/07","  - "," Ireland",30,2,"MF",15
" Alan Quinn","Ireland","2006/07","  - "," Ireland",284,19,"MF",14.9473684210526
" Alan Smith","England","2006/07","  - "," England",184,9,"MF",20.4444444444444
" Alan Smith","England","2007/08","  - "," England",881,33,"MF",26.6969696969697
" Alan Smith","England","2008/09","  - "," England",187,6,"MF",31.1666666666667
" Alan Smith","England","2010/11","  - "," England",231,11,"MF",21
" Alan Smith","England","2011/12","  - "," England",8,2,"MF",4
" Albert Crusat","Spain","2011/12","  - "," Spain",160,15,"MF",10.6666666666667
" Albert Jarrett","Sierra Leone","2006/07","  - "," Sierra Leone",8,1,"MF",8
" Albert Riera","Spain","2008/09","  - "," Spain",766,28,"MF",27.3571428571429
" Albert Riera","Spain","2009/10","  - "," Spain",276,12,"MF",23
" Alberto Aquilani","Italy","2009/10","  - "," Italy",561,18,"MF",31.1666666666667
" Alejandro Faurlin","Argentina","2011/12","  - "," Argentina",1147,20,"MF",57.35
" Alejandro Faurlin","Argentina","2012/13","  - "," Argentina",562,11,"MF",51.0909090909091
" Alejandro Faurlin","Argentina","2014/15","  - "," Argentina",54,2,"MF",27
" Aleksandar Tonev","Bulgaria","2013/14","  - "," Bulgaria",145,17,"MF",8.52941176470588
" Alex Iwobi","Nigeria","2015/16"," Arsenal  "," Nigeria",368,13,"MF",28.3076923076923
" Alex Oxlade-Chamberlain","England","2011/12"," Arsenal  "," England",243,16,"MF",15.1875
" Alex Oxlade-Chamberlain","England","2012/13"," Arsenal  "," England",525,25,"MF",21
" Alex Oxlade-Chamberlain","England","2013/14"," Arsenal  "," England",330,14,"MF",23.5714285714286
" Alex Oxlade-Chamberlain","England","2014/15"," Arsenal  "," England",709,23,"MF",30.8260869565217
" Alex Oxlade-Chamberlain","England","2015/16"," Arsenal  "," England",439,22,"MF",19.9545454545455
" Álex Pozuelo","Spain","2013/14","  - "," Spain",631,22,"MF",28.6818181818182
" Alex Pritchard","England","2013/14","  - "," England",1,1,"MF",1
" Alex Pritchard","England","2015/16","  - "," England",25,3,"MF",8.33333333333333
" Alexander Kacaniklic","Sweden","2011/12","  - "," Sweden",39,4,"MF",9.75
" Alexander Kacaniklic","Sweden","2012/13","  - "," Sweden",285,20,"MF",14.25
" Alexander Kacaniklic","Sweden","2013/14","  - "," Sweden",336,23,"MF",14.6086956521739
" Alexander Tettey","Norway","2012/13","  - "," Norway",1071,27,"MF",39.6666666666667
" Alexander Tettey","Norway","2013/14","  - "," Norway",901,21,"MF",42.9047619047619
" Alexander Tettey","Norway","2015/16","  - "," Norway",1064,23,"MF",46.2608695652174
" Alexandre Song","Cameroon","2006/07","  - "," Cameroon",515,14,"MF",36.7857142857143
" Alexandre Song","Cameroon","2007/08","  - "," Cameroon",291,9,"MF",32.3333333333333
" Alexandre Song","Cameroon","2008/09","  - "," Cameroon",1180,31,"MF",38.0645161290323
" Alexandre Song","Cameroon","2009/10","  - "," Cameroon",1487,26,"MF",57.1923076923077
" Alexandre Song","Cameroon","2010/11","  - "," Cameroon",1887,31,"MF",60.8709677419355
" Alexandre Song","Cameroon","2011/12","  - "," Cameroon",2248,34,"MF",66.1176470588235
" Alexandre Song","Cameroon","2014/15","  - "," Cameroon",1221,28,"MF",43.6071428571429
" Alexandre Song","Cameroon","2015/16","  - "," Cameroon",448,12,"MF",37.3333333333333
" Alexei Smertin","Russia","2006/07","  - "," Russia",224,7,"MF",32
" Alexei Smertin","Russia","2007/08","  - "," Russia",314,15,"MF",20.9333333333333
" Alfred N'Diaye","Senegal","2012/13","  - "," Senegal",455,16,"MF",28.4375
" Aliaksandr Hleb","Belarus","2006/07","  - "," Belarus",1495,33,"MF",45.3030303030303
" Aliaksandr Hleb","Belarus","2007/08","  - "," Belarus",1552,31,"MF",50.0645161290323
" Aliaksandr Hleb","Belarus","2010/11","  - "," Belarus",542,19,"MF",28.5263157894737
" Almen Abdi","Switzerland","2015/16","  - "," Switzerland",938,32,"MF",29.3125
" Alou Diarra","France","2012/13","  - "," France",66,3,"MF",22
" Alou Diarra","France","2013/14","  - "," France",30,3,"MF",10
" Amaury Bischoff","Portugal","2008/09","  - "," Portugal",27,1,"MF",27
" Amdy Faye","Senegal","2006/07","  - "," Senegal",765,28,"MF",27.3214285714286
" Amdy Faye","Senegal","2008/09","  - "," Senegal",384,21,"MF",18.2857142857143
" Amine Linganzi","Congo","2009/10","  - "," Congo",16,1,"MF",16
" Amine Linganzi","Congo","2010/11","  - "," Congo",19,1,"MF",19
" Ander Herrera","Spain","2014/15"," Manchester United  "," Spain",1554,26,"MF",59.7692307692308
" Ander Herrera","Spain","2015/16"," Manchester United  "," Spain",1097,27,"MF",40.6296296296296
" Anderson","Brazil","2007/08","  - "," Brazil",824,24,"MF",34.3333333333333
" Anderson","Brazil","2008/09","  - "," Brazil",597,17,"MF",35.1176470588235
" Anderson","Brazil","2009/10","  - "," Brazil",584,14,"MF",41.7142857142857
" Anderson","Brazil","2010/11","  - "," Brazil",684,18,"MF",38
" Anderson","Brazil","2011/12","  - "," Brazil",514,10,"MF",51.4
" Anderson","Brazil","2012/13","  - "," Brazil",642,17,"MF",37.7647058823529
" Anderson","Brazil","2013/14","  - "," Brazil",118,4,"MF",29.5
" Anderson","Brazil","2014/15","  - "," Brazil",17,1,"MF",17
" Anderson Silva de Franca","Brazil","2006/07","  - "," Brazil",4,1,"MF",4
" Andranik Teymourian","Iran","2006/07","  - "," Iran",317,17,"MF",18.6470588235294
" Andranik Teymourian","Iran","2007/08","  - "," Iran",26,3,"MF",8.66666666666667
" Andranik Teymourian","Iran","2008/09","  - "," Iran",1,1,"MF",1
" André Schürrle","Germany","2013/14","  - "," Germany",516,30,"MF",17.2
" André Schürrle","Germany","2014/15","  - "," Germany",214,14,"MF",15.2857142857143
" Andrea Orlandi","Spain","2011/12","  - "," Spain",60,3,"MF",20
" Andreas Johansson","Sweden","2006/07","  - "," Sweden",138,12,"MF",11.5
" Andreas Pereira","Brazil","2014/15","  - "," Brazil",6,1,"MF",6
" Andreas Pereira","Brazil","2015/16","  - "," Brazil",49,4,"MF",12.25
" Andrew Crofts","Wales","2011/12","  - "," Wales",468,24,"MF",19.5
" Andrew Surman","England","2009/10","  - "," England",143,7,"MF",20.4285714285714
" Andrew Surman","England","2011/12","  - "," England",908,25,"MF",36.32
" Andrew Surman","England","2012/13","  - "," England",99,4,"MF",24.75
" Andrew Surman","England","2015/16"," AFC Bournemouth  "," England",2287,38,"MF",60.1842105263158
" Andrey Arshavin","Russia","2008/09","  - "," Russia",446,12,"MF",37.1666666666667
" Andrey Arshavin","Russia","2009/10","  - "," Russia",879,30,"MF",29.3
" Andrey Arshavin","Russia","2010/11","  - "," Russia",1017,37,"MF",27.4864864864865
" Andrey Arshavin","Russia","2011/12","  - "," Russia",340,19,"MF",17.8947368421053
" Andrey Arshavin","Russia","2012/13","  - "," Russia",58,7,"MF",8.28571428571429
" Andros Townsend","England","2012/13","  - "," England",338,17,"MF",19.8823529411765
" Andros Townsend","England","2013/14","  - "," England",509,25,"MF",20.36
" Andros Townsend","England","2014/15","  - "," England",298,17,"MF",17.5294117647059
" Andros Townsend","England","2015/16","  - "," England",392,16,"MF",24.5
" Andy King","Wales","2014/15"," Leicester City  "," Wales",626,24,"MF",26.0833333333333
" Andy King","Wales","2015/16"," Leicester City  "," Wales",476,25,"MF",19.04
" Andy Reid","Ireland","2006/07","  - "," Ireland",597,16,"MF",37.3125
" Andy Reid","Ireland","2007/08","  - "," Ireland",429,13,"MF",33
" Andy Reid","Ireland","2008/09","  - "," Ireland",928,32,"MF",29
" Andy Reid","Ireland","2009/10","  - "," Ireland",794,21,"MF",37.8095238095238
" Andy Reid","Ireland","2010/11","  - "," Ireland",117,7,"MF",16.7142857142857
" Andy van der Meyde","Netherlands","2006/07","  - "," Netherlands",125,8,"MF",15.625
" Andy van der Meyde","Netherlands","2008/09","  - "," Netherlands",4,2,"MF",2
" Ángel Di María","Argentina","2014/15","  - "," Argentina",844,27,"MF",31.2592592592593
" Angelos Basinas","Greece","2008/09","  - "," Greece",142,3,"MF",47.3333333333333
" Angelos Basinas","Greece","2009/10","  - "," Greece",448,12,"MF",37.3333333333333
" Anthony Forde","Ireland","2011/12","  - "," Ireland",66,6,"MF",11
" Anthony Knockaert","France","2014/15","  - "," France",123,9,"MF",13.6666666666667
" Anthony McNamee","England","2006/07","  - "," England",56,7,"MF",8
" Anthony Pilkington","Ireland","2011/12","  - "," Ireland",732,30,"MF",24.4
" Anthony Pilkington","Ireland","2012/13","  - "," Ireland",578,30,"MF",19.2666666666667
" Anthony Pilkington","Ireland","2013/14","  - "," Ireland",232,15,"MF",15.4666666666667
" Antonio Nocerino","Italy","2013/14","  - "," Italy",104,10,"MF",10.4
" Arjen Robben","Netherlands","2006/07","  - "," Netherlands",416,21,"MF",19.8095238095238
" Arnold Mvuemba","France","2006/07","  - "," France",113,7,"MF",16.1428571428571
" Arnold Mvuemba","France","2007/08","  - "," France",150,8,"MF",18.75
" Arnold Mvuemba","France","2008/09","  - "," France",92,6,"MF",15.3333333333333
" Aron Gunnarsson","Iceland","2013/14","  - "," Iceland",520,23,"MF",22.6086956521739
" Ashkan Dejagah","Iran","2012/13","  - "," Iran",469,21,"MF",22.3333333333333
" Ashkan Dejagah","Iran","2013/14","  - "," Iran",522,22,"MF",23.7272727272727
" Ashley Westwood","England","2012/13","  - "," England",1336,30,"MF",44.5333333333333
" Ashley Westwood","England","2013/14","  - "," England",1630,35,"MF",46.5714285714286
" Ashley Westwood","England","2014/15","  - "," England",1326,27,"MF",49.1111111111111
" Ashley Westwood","England","2015/16","  - "," England",1512,32,"MF",47.25
" Ashley Young","England","2006/07","  - "," England",584,33,"MF",17.6969696969697
" Ashley Young","England","2007/08","  - "," England",772,37,"MF",20.8648648648649
" Ashley Young","England","2008/09","  - "," England",887,36,"MF",24.6388888888889
" Ashley Young","England","2009/10","  - "," England",946,37,"MF",25.5675675675676
" Ashley Young","England","2010/11","  - "," England",1141,34,"MF",33.5588235294118
" Ashley Young","England","2011/12"," Manchester United  "," England",734,25,"MF",29.36
" Ashley Young","England","2012/13"," Manchester United  "," England",671,19,"MF",35.3157894736842
" Ashley Young","England","2013/14"," Manchester United  "," England",455,20,"MF",22.75
" Ashley Young","England","2014/15"," Manchester United  "," England",868,26,"MF",33.3846153846154
" Ashley Young","England","2015/16"," Manchester United  "," England",566,18,"MF",31.4444444444444
" Bakary Sako","Mali","2015/16"," Crystal Palace  "," Mali",336,20,"MF",16.8
" Barry Bannan","Scotland","2010/11","  - "," Scotland",323,12,"MF",26.9166666666667
" Barry Bannan","Scotland","2011/12","  - "," Scotland",535,28,"MF",19.1071428571429
" Barry Bannan","Scotland","2012/13","  - "," Scotland",875,24,"MF",36.4583333333333
" Barry Bannan","Scotland","2013/14","  - "," Scotland",400,15,"MF",26.6666666666667
" Barry Bannan","Scotland","2014/15","  - "," Scotland",76,7,"MF",10.8571428571429
" Barry Ferguson","Scotland","2009/10","  - "," Scotland",2168,37,"MF",58.5945945945946
" Barry Ferguson","Scotland","2010/11","  - "," Scotland",2150,35,"MF",61.4285714285714
" Bastian Schweinsteiger","Germany","2015/16","  - "," Germany",1067,18,"MF",59.2777777777778
" Ben Reeves","Northern Ireland","2012/13","  - "," Northern Ireland",23,3,"MF",7.66666666666667
" Ben Watson","England","2008/09","  - "," England",269,10,"MF",26.9
" Ben Watson","England","2009/10","  - "," England",220,5,"MF",44
" Ben Watson","England","2010/11","  - "," England",1379,29,"MF",47.551724137931
" Ben Watson","England","2011/12","  - "," England",944,21,"MF",44.9523809523809
" Ben Watson","England","2012/13","  - "," England",579,12,"MF",48.25
" Ben Watson","England","2015/16"," Watford  "," England",1436,35,"MF",41.0285714285714
" Benjamin Stambouli","France","2014/15","  - "," France",289,12,"MF",24.0833333333333
" Benny Feilhaber","United States","2007/08","  - "," United States",151,10,"MF",15.1
" Bernard Mendy","France","2008/09","  - "," France",389,28,"MF",13.8928571428571
" Bernard Mendy","France","2009/10","  - "," France",428,21,"MF",20.3809523809524
" Bersant Celina","Kosovo","2015/16","  - "," Kosovo",12,1,"MF",12
" Billy Knott","England","2012/13","  - "," England",4,1,"MF",4
" Bjorn Helge Riise","Norway","2009/10","  - "," Norway",166,12,"MF",13.8333333333333
" Bjorn Helge Riise","Norway","2010/11","  - "," Norway",13,3,"MF",4.33333333333333
" Bobby Convey","United States","2006/07","  - "," United States",175,9,"MF",19.4444444444444
" Bobby Convey","United States","2007/08","  - "," United States",259,20,"MF",12.95
" Borja Oubiña","Spain","2007/08","  - "," Spain",5,2,"MF",2.5
" Borja Valero","Spain","2008/09","  - "," Spain",1165,30,"MF",38.8333333333333
" Boudewijn Zenden","Netherlands","2006/07","  - "," Netherlands",370,16,"MF",23.125
" Boudewijn Zenden","Netherlands","2009/10","  - "," Netherlands",221,20,"MF",11.05
" Boudewijn Zenden","Netherlands","2010/11","  - "," Netherlands",524,27,"MF",19.4074074074074
" Bradley Johnson","England","2011/12","  - "," England",1165,28,"MF",41.6071428571429
" Bradley Johnson","England","2012/13","  - "," England",1663,37,"MF",44.9459459459459
" Bradley Johnson","England","2013/14","  - "," England",1364,32,"MF",42.625
" Bradley Johnson","England","2015/16","  - "," England",67,4,"MF",16.75
" Brandon Comley","England","2014/15","  - "," England",11,1,"MF",11
" Brek Shea","United States","2012/13","  - "," United States",26,2,"MF",13
" Brek Shea","United States","2013/14","  - "," United States",6,1,"MF",6
" Brett Emerton","Australia","2006/07","  - "," Australia",1284,34,"MF",37.7647058823529
" Brett Emerton","Australia","2007/08","  - "," Australia",1035,33,"MF",31.3636363636364
" Brett Emerton","Australia","2008/09","  - "," Australia",611,20,"MF",30.55
" Brett Emerton","Australia","2009/10","  - "," Australia",545,24,"MF",22.7083333333333
" Brett Emerton","Australia","2010/11","  - "," Australia",714,30,"MF",23.8
" Brett Emerton","Australia","2011/12","  - "," Australia",35,2,"MF",17.5
" Bruno Andrade","Portugal","2011/12","  - "," Portugal",4,1,"MF",4
" Bryan Hughes","England","2006/07","  - "," England",596,24,"MF",24.8333333333333
" Bryan Hughes","England","2008/09","  - "," England",55,6,"MF",9.16666666666667
" Bryan Ruiz","Costa Rica","2011/12","  - "," Costa Rica",748,27,"MF",27.7037037037037
" Bryan Ruiz","Costa Rica","2012/13","  - "," Costa Rica",1327,29,"MF",45.7586206896552
" Bryan Ruiz","Costa Rica","2013/14","  - "," Costa Rica",353,12,"MF",29.4166666666667
" Brynjar Gunnarsson","Iceland","2006/07","  - "," Iceland",373,23,"MF",16.2173913043478
" Brynjar Gunnarsson","Iceland","2007/08","  - "," Iceland",459,20,"MF",22.95
" Cabral","Cape Verde","2013/14","  - "," Cape Verde",61,1,"MF",61
" Callum McManaman","England","2008/09","  - "," England",7,1,"MF",7
" Callum McManaman","England","2010/11","  - "," England",3,3,"MF",1
" Callum McManaman","England","2011/12","  - "," England",7,2,"MF",3.5
" Callum McManaman","England","2012/13","  - "," England",189,20,"MF",9.45
" Callum McManaman","England","2014/15","  - "," England",78,8,"MF",9.75
" Callum McManaman","England","2015/16","  - "," England",77,12,"MF",6.41666666666667
" Cameron Brannagan","England","2015/16","  - "," England",124,3,"MF",41.3333333333333
" Carles Gil","Spain","2014/15","  - "," Spain",217,5,"MF",43.4
" Carles Gil","Spain","2015/16","  - "," Spain",730,23,"MF",31.7391304347826
" Carlos Edwards","Trinidad And Tobago","2007/08","  - "," Trinidad And Tobago",271,13,"MF",20.8461538461538
" Carlos Edwards","Trinidad And Tobago","2008/09","  - "," Trinidad And Tobago",249,22,"MF",11.3181818181818
" Carlos Sánchez","Colombia","2014/15","  - "," Colombia",1283,28,"MF",45.8214285714286
" Carlos Sánchez","Colombia","2015/16","  - "," Colombia",793,20,"MF",39.65
" Carlos Villanueva","Chile","2008/09","  - "," Chile",321,13,"MF",24.6923076923077
" Cesc Fàbregas","Spain","2006/07","  - "," Spain",2585,38,"MF",68.0263157894737
" Cesc Fàbregas","Spain","2007/08","  - "," Spain",2318,32,"MF",72.4375
" Cesc Fàbregas","Spain","2008/09","  - "," Spain",1622,22,"MF",73.7272727272727
" Cesc Fàbregas","Spain","2009/10","  - "," Spain",1784,27,"MF",66.0740740740741
" Cesc Fàbregas","Spain","2010/11","  - "," Spain",1598,25,"MF",63.92
" Cesc Fàbregas","Spain","2014/15"," Chelsea  "," Spain",2743,34,"MF",80.6764705882353
" Cesc Fàbregas","Spain","2015/16"," Chelsea  "," Spain",2829,37,"MF",76.4594594594595
" Charalampos Mavrias","Greece","2013/14","  - "," Greece",49,4,"MF",12.25
" Charles N'Zogbia","France","2006/07","  - "," France",374,22,"MF",17
" Charles N'Zogbia","France","2007/08","  - "," France",923,32,"MF",28.84375
" Charles N'Zogbia","France","2008/09","  - "," France",854,31,"MF",27.5483870967742
" Charles N'Zogbia","France","2009/10","  - "," France",1059,36,"MF",29.4166666666667
" Charles N'Zogbia","France","2010/11","  - "," France",1006,34,"MF",29.5882352941176
" Charles N'Zogbia","France","2011/12","  - "," France",697,30,"MF",23.2333333333333
" Charles N'Zogbia","France","2012/13","  - "," France",376,21,"MF",17.9047619047619
" Charles N'Zogbia","France","2014/15","  - "," France",532,27,"MF",19.7037037037037
" Charles N'Zogbia","France","2015/16","  - "," France",9,2,"MF",4.5
" Charlie Adam","Scotland","2010/11","  - "," Scotland",1883,35,"MF",53.8
" Charlie Adam","Scotland","2011/12","  - "," Scotland",1372,28,"MF",49
" Charlie Adam","Scotland","2012/13"," Stoke City  "," Scotland",759,27,"MF",28.1111111111111
" Charlie Adam","Scotland","2013/14"," Stoke City  "," Scotland",910,31,"MF",29.3548387096774
" Charlie Adam","Scotland","2014/15"," Stoke City  "," Scotland",764,29,"MF",26.3448275862069
" Charlie Adam","Scotland","2015/16"," Stoke City  "," Scotland",546,22,"MF",24.8181818181818
" Cheick Tioté","Cote D'Ivoire","2010/11","  - "," Cote D'Ivoire",1414,26,"MF",54.3846153846154
" Cheick Tioté","Cote D'Ivoire","2011/12","  - "," Cote D'Ivoire",1402,24,"MF",58.4166666666667
" Cheick Tioté","Cote D'Ivoire","2012/13","  - "," Cote D'Ivoire",1347,24,"MF",56.125
" Cheick Tioté","Cote D'Ivoire","2013/14","  - "," Cote D'Ivoire",2092,33,"MF",63.3939393939394
" Cheick Tioté","Cote D'Ivoire","2014/15","  - "," Cote D'Ivoire",688,11,"MF",62.5454545454545
" Cheick Tioté","Cote D'Ivoire","2015/16","  - "," Cote D'Ivoire",835,20,"MF",41.75
" Cheikhou Kouyaté","Senegal","2014/15"," West Ham United  "," Senegal",890,31,"MF",28.7096774193548
" Cheikhou Kouyaté","Senegal","2015/16"," West Ham United  "," Senegal",1234,34,"MF",36.2941176470588
" Cho Won-Hee","South Korea","2008/09","  - "," South Korea",41,1,"MF",41
" Cho Won-Hee","South Korea","2009/10","  - "," South Korea",52,4,"MF",13
" Chris Basham","England","2008/09","  - "," England",153,11,"MF",13.9090909090909
" Chris Basham","England","2009/10","  - "," England",78,8,"MF",9.75
" Chris Basham","England","2010/11","  - "," England",66,2,"MF",33
" Chris Brunt","Northern Ireland","2008/09"," West Bromwich Albion  "," Northern Ireland",1070,34,"MF",31.4705882352941
" Chris Brunt","Northern Ireland","2010/11"," West Bromwich Albion  "," Northern Ireland",1365,34,"MF",40.1470588235294
" Chris Brunt","Northern Ireland","2011/12"," West Bromwich Albion  "," Northern Ireland",1091,29,"MF",37.6206896551724
" Chris Brunt","Northern Ireland","2012/13"," West Bromwich Albion  "," Northern Ireland",1157,31,"MF",37.3225806451613
" Chris Brunt","Northern Ireland","2013/14"," West Bromwich Albion  "," Northern Ireland",1021,28,"MF",36.4642857142857
" Chris Brunt","Northern Ireland","2014/15"," West Bromwich Albion  "," Northern Ireland",1181,34,"MF",34.7352941176471
" Chris Brunt","Northern Ireland","2015/16"," West Bromwich Albion  "," Northern Ireland",621,22,"MF",28.2272727272727
" Chris David","Netherlands","2013/14","  - "," Netherlands",41,1,"MF",41
" Chris Eagles","England","2006/07","  - "," England",53,2,"MF",26.5
" Chris Eagles","England","2007/08","  - "," England",53,4,"MF",13.25
" Chris Eagles","England","2009/10","  - "," England",725,34,"MF",21.3235294117647
" Chris Eagles","England","2011/12","  - "," England",872,34,"MF",25.6470588235294
" Chris Herd","Australia","2010/11","  - "," Australia",66,6,"MF",11
" Chris Herd","Australia","2011/12","  - "," Australia",542,19,"MF",28.5263157894737
" Chris Herd","Australia","2012/13","  - "," Australia",236,9,"MF",26.2222222222222
" Chris Herd","Australia","2013/14","  - "," Australia",68,2,"MF",34
" Chris McCann","Ireland","2009/10","  - "," Ireland",135,7,"MF",19.2857142857143
" Christian Atsu","Ghana","2014/15","  - "," Ghana",67,5,"MF",13.4
" Christian Eriksen","Denmark","2013/14"," Tottenham Hotspur  "," Denmark",1109,25,"MF",44.36
